,sentence,category
23480,"Может, просто везло с сотрудниками, но всегда все по десять раз объяснят и всегда терпеливо и вежливо.",Communication
23482,"Оказывается Сбербанк скрывает кредитную историю, которую он должен передавать каждый месяц, поэтому отказ!!!",Safety
23484,"Работает криво, пользоваться не удобно!",Quality
23486,По итогу которой вы можете вернуть до 30% с одной покупки или получить рассрочку в 30 месяцев без процентов :-) Согласитесь очень приятно получить такой бонусНезависимость от банкоматов (свои средства вы легко можете снимать абсолютно в любом банкомате)Возможность снимать и даже переводить кредитные деньги без процентов (такое сейчас не часто встретишь)Конкурсы от банка: банк очень часто радует своих клиентов увлекательными конкурсами и отличными подаркамиКонкурсы:Чтобы не быть голословным прикладываю скриншоты того что банк реально делает конкурсы и подарки получить реально каждому.,Quality
23488,Перекладывать решение своих же проблем на плечи клиентов это просто супер решение!!,Quality
23490,Это не первый опыт моего общения с банком ВТБ и очередной раз отрицательный!,Communication
23492,"Обсуждать свои вопросы с банком по местному телефону, с сотрудником, которого я даже не вижу, я посчитал для себя невозможным, неудобным и вообще как то я не привык к такому «сервису».",Quality
23494,"Большое спасибо сотрудникам отделения банка на метро Багратионовская, особенно П-ву Антону.",Communication
23496,"Почему банк обманным путем, не позволяя совершать операции в интернет-банке, не дает мне возможность распоряжаться своими средствами.",Quality
23498,"Хуже я не видел нигде, даже в сбербанке лучше - максимум ожидания 15 минут!",Quality
23500,С 9 апреля и по 22 до сих пор тишина.,Communication
23502,"Касаемо культуры общения думаю писать нет смысла, все были предельно вежливы, дружелюбны, да и вообще общение проходило с лёгкой долей позитива!",Communication
23504,"Складывается ощущение, что ты не прочитал текст мелким шрифтом, сам дурак, а тебя нагревают, хотя обещали любовь и голубей.",Communication
23506,"Почему из-за халатного отношения сотрудников ""Альфа банка"" я должна переживать весь этот стресс??!!",Communication
23508,"Это жесть , такого ни в одном банке нет.",Communication
23510,"В банке ФК ""Открытие"" ужасное обслуживание клиентов.",Communication
23512,"На banki.ru размещена информация о вкладе ""Осенний"" в ПАО ""Восточный экспресс банк"" со ставкой 7,8% для моей суммы без дополнительных услуг.",Price
23514,"В результате из-за отвратительного отношения представителей банка к своим клиентам потеряно время и, соответственно, я не могу оформить свою квартиру.",Communication
23516,"При оформлении все понравилось, быстро и профессионально.",Quality
23518,"Девушка пыталась связаться и сдвинуть процесс с мертвой точки, но по итогу сказала что не может, сотрудник который все это делала не отвечает, видимо ее нет на месте, а так как я сказал что не поеду второй раз и что сервис простите отвратительный и это уже на тот момент был второй косяк в работе банка и причем подряд, я пишу заявление на закрытие счета.",Quality
23520,"Приехал вовремя, как и договаривались, вечером, после 20:00, заполнил все документы, всё объяснил, помог активировать карту.",Communication
23522,"Мне совершенно не понятно, почему в отделении банка мне сказали один срок начисления денежных средств, а в call-centre совершенно другой!",Communication
23524,"5.02.2019г приехал в указанный офис, заполнил все бумаги - быстро, оперативно, без очереди.",Quality
23526,"То, что необходимо срочно обращаться в правоохранительные органы, это я поняла точно!",Safety
23528,По истечению всех сроков доставки магазин не предоставил товар и добровольно деньги не возвращает.,Communication
23530,"Всегда думал, что это приличный Банк.",Quality
23532,И кто может это исправить?!?!?!,Quality
23534,"Еще раз сказать спасибо о том что заботитесь о своих клиентах , за ваш профессионализм , и надёжный банк рядом с домом!",Quality
23536,"За мной уже образовалась очередь и даже сторонние люди, которые были за мной обращались к ней, чтобы она всё таки мне помогла.",Communication
23538,"У меня грудной ребенок, нет возможности кататься в банк, как на работу - особенно из-за некомпетентности сотрудника!",Communication
23540,"Я спорить не стал - устал, да и банк - не то место, чтобы скандалить и спорить - решил написать отзыв тут, чтобы более компетентные сотрудники данного банка обратили внимание на это безобразие.",Quality
23542,"При этом А. и Е. проделали всю эту работу вместе с нами, в течение всех этих пяти месяцев  реально вникая во все нюансы и помогая везде, где это было необходимо.",Quality
23544,", потому что в основном Банки не звонят вообще (приходится звонить на горячую линию и часами ждать ответа оператора).",Communication
23546,"Персонал очень приветливый, начиная прямо с дверей (охрана здоровается тоже).",Communication
23548,"Ура, вчера (30.11.2017) мне пришло смс, что карта готова и можно получать.",Communication
23550,"В отделении всё прошло быстро и гладко и я довольная пошла домой с надеждой, что скоро стану инвестором).",Communication
23552,"Отвратительно, наверное самое мягкое слово , которое можно использовать к процессам и сотрудникам банка.",Quality
23553,"Отвратительно, наверное самое мягкое слово , которое можно использовать к процессам и сотрудникам банка.",Communication
23554,"Работники доп. отделений, несмотря на свой довольно молодой возраст, тоже порадовали своим профессионализмом и вежливостью, проблем с получением или сроками зачисления платежей у меня тоже не возникало.",Communication
23555,"Работники доп. отделений, несмотря на свой довольно молодой возраст, тоже порадовали своим профессионализмом и вежливостью, проблем с получением или сроками зачисления платежей у меня тоже не возникало.",Quality
23556,"Распространенная вашим ""банком"" мне на телефон 11.05.2018 реклама ""Получайте от банка всё самое лучшее с Мультикартой ВТБ: cash back до 10%, скидки от партнеров до 30%, бесплатные переводы и пополнение карты.",Communication
23558,"Новая версия интернет банкинга порадовала наличием двухфакторной аутентификации, что существенно усиливает безопасность данного сервиса.",Quality
23560,"Ещё раз спасибо банку за лояльность, отзывчивость и самое главное за то, что он есть!",Communication
23561,"Ещё раз спасибо банку за лояльность, отзывчивость и самое главное за то, что он есть!",Quality
23562,И даже не прислали какого-то объяснительного промежуточного ответа.,Communication
23564,"Выражаю благодарность сотруднику банка ВТБ, ДО № 59, Р-ц Илье Андреевичу, за высокий профессионализм и компетенцию в решении моей проблемы, связанной с ошибкой его коллег.",Communication
23566,"Именно этим ребятам , ставлю высший бал. Андрей и Ирина, вы супер!",Quality
23568,"Я приготовилась к радушному приему сотрудников, т.к. являюсь клиентом давно, причем с очень положительной кредитной историей.",Communication
23570,"Электронная очередь не работает, сотрудники банка пропускают клиентов по каким-то только им понятным правилам.",Quality
23572,"Не пытаются эффективно организовать работу с клиентами, не готовы к сбоям своего оборудования, не признают ошибок, работают медленно.",Quality
23574,Связь в это время была отличная .,Communication
23576,Меня полностью устраивают ваши условия и я все стараюсь выполнять.,Quality
23578,"Кроме того, сотрудник не мог однозначно идентифицировать себя именно как сотрудника банка, а не как телефонного мошенника.",Safety
23579,"Кроме того, сотрудник не мог однозначно идентифицировать себя именно как сотрудника банка, а не как телефонного мошенника.",Communication
23580,"Сегодня например звонил некий Павел Владимирович, оскорблял, угрожал, что ко мне придет какая-то группа взыскания и будет описывать имущество и забирать вещи в счет уплаты долга, а также от имени банка они обратятся в отдел опеки о лишении меня родительских прав (у меня двое маленьких детей, один из которых грудной), говорит, что будут забирать у меня долг другими непонятными путями, вообщем запугивает.",Communication
23582,"Ужасная работа банка, гоняют туда сюда, никакой клиентоориентированности и желания помочь клиенту.",Quality
23584,"Менеджер в полнейшем непонимании, говорит, что такого платежа нигде не видит, что все документы у нее в ПО отображены и не понимает, в чем дело.",Communication
23586,"Оператор колл-центра вообще не находит моё заявление на закрытие карты, но по унылому скрипту рассказывает как круто будет перехватить денег у банка снова и вообще не надо от них уходить.",Communication
23588,По сравнению с другими банками приемлемые тарифы на обслуживание.,Price
23590,Клиентоориентированность на высоте.,Quality
23592,"Сотрудники не проверяют данные, запрашиваемые судебными приставами!",Communication
23594,"После проведения внутренней проверки вопрос был полностью решен, спасибо!",Communication
23596,"Продуктами и услугами банка буду пользоваться, порекомендую знакомым и друзьям однозначно!",Quality
23598,"Почему я вынужден ездить по вашим офисам и по часу дозваниваться операторам, которые ничего не знают!?",Quality
23600,Почему до сих пор не исправлено автоматически всем пострадавшим?!,Communication
23602,степень некомпетентности и безразличного отношения к клиентам зашкаливает.,Quality
23604,Я крайне недоволен как клиент Сбербанка данным руководителем.,Communication
23606,"Очень рада, что мне попалась именно эта сотрудница, которая вошла в мое положение и не торопясь домой помогла мне.",Communication
23608,"Он вел себя грубо и вызывающе, сути моей проблемы не понял вообще, стал дерзить, отказался принять жалобу, в том числе и на себя.",Communication
23610,"Я удивляюсь, как банк с настолько слабым сервисом, вообще до сих пор существует.",Quality
23612,"Даже не объясняют причины, по которой не выпущена карта!",Communication
23614,Очень признательна за такое отношение к проблеме клиента.,Communication
23616,"Он сказал то, что видел – реально самый настоящий брак.",Communication
23618,Я продвинулся всего лишь до 10го номера в очереди.,Communication
23620,"Я в шоке, что за езда по ушам при оформлении кредита и выкачивание денег у клиентов банка обманным путём?!",Communication
23622,"Что касается интернет-банка Raiffaisen Connect, то по мне он весьма удобен и прост в обращении.",Quality
23624,"Пришлось идти в другое отделение сбербанка(оплачивал через сберкнижку так бы не ходил после этого дебилизма в сбербанк) Москва, ул. Коровий Вал, 1а, стр. 1, там слава богу, все же оказались адекватные люди никаких проблем не возникло, за 2 минуты оперативно все перевели.",Quality
23626,"Да, тарифы могут быть не самые выгодные, и лимиты не самые большие, так что изучайте их внимательно, но если условия вам подходят - то это однозначно лучший банк по соотношению цена/качество.",Quality
23628,"Со времени прошлого отзыва с оценкой несколько раз перевыпускал карты: всегда всё четко, вовремя, корректно.",Quality
23630,"Я звонила и переписывалась с банком,никакого результата!21.04.2020г в чате с банком я оставила обращение с просьбой разобраться в сложившейся ситуации и вернуть денеж.средства в размере(12 003-67)для оплаты страховки,по реквизитам высланным страховой компанией,было создано обращение под номером29544,через 5 дней,я звонила узнать о решении,но мне сказали,что под таким номером не зарегистрировано,вот новый номер 123348,как так?никто со мной не связывается,вопрос не решается,сегодня был сделан банком прозвон,что я даже не успела взять телефон!написала в чате,ответ один ваш вопрос в работе!сколько можно!почему банк удерживает денеж.средства,которые ему не принадлежат!а в чате еще задала сегодня вопрос куда обратиться,чтобы перезвонили ответили вам придет сообщение и все,на горячей линии никто ничего тоже не знает!",Communication
23632,"Друг написал в поддержку, ему подарили повышенный кэшбэк вчерашним числом, а это 10 000 рублей посиделки оказалась приличная сумма.",Price
23634,"Доброжелательная, с ответственным подходом.",Communication
23636,"""Разводить"" некомпетентных в данной области людей на приобретение ненужных им платных услуг таких, как SMS-информирование, и невероятные проценты?",Communication
23638,"При этом сотрудники спокойно пропускали людей без очереди, а на возмущение очереди отвечали, что так и надо - просто человек пришел забрать свою карту, ага, в течение 30 минут, например.",Communication
23640,"Менеджеры клиентам не звонят, call центр ничего не знает, в офисе сотрудники неправильно консультируют ируководства нет на рабочем месте.",Communication
23642,"Соответственно, такие бланки - не действительные и сотрудники почты не могли ими воспользоваться.141601141602141604141612141613Это почтовые индексы отделений, где я побывал, потратил на это почти целый день - результата нет, вклад не открыт.",Quality
23644,"Складывается впечатление, что у Вас система никогда не работает.",Quality
23646,"За профессионализм, терпение, инициативность, желание помочь и разобрать все вопросы более подробно, и найти на них нужные решение.",Communication
23648,"Посоветовали банк Тинькофф , как самый лучший для инвестиций.",Quality
23650,"Зачем вводить людей в заблуждение, говоря что сделаете все сами, а по факту вы эту услугу качественно оказать не можете.",Communication
23651,"Зачем вводить людей в заблуждение, говоря что сделаете все сами, а по факту вы эту услугу качественно оказать не можете.",Quality
23652,"Еще ни один банк не отнимал у меня столько времени на решение элементарной проблемы – карта, выданная банком, не работает!",Quality
23654,"Очень неприятная ситуация, надеюсь, банк либо опубликует официальные правила в системе интернет-банкинга (перед платежом) о том, что банк ни за что не отвечает кроме списания денег со счёта, либо будет хотя бы помогать клиенту разбираться с компаниями-партнерами.",Quality
23656,А сотрудники ответственного подразделения просто не отвечают на телефонные звонки.,Communication
23658,"Заказывал бесплатную карту к депозиту, подсунули карту с платным обслуживанием!",Communication
23660,"Я хотела взять кредит для рефинансирования в другом банке, но мне сказали что у меня имеются просрочки и большие задолженности и одобрить кредит мне не могут!!!!!",Communication
23662,Никаким продуктом воспользоваться нельзя!,Quality
23664,С Вами было очень комфортно и приятно работать.,Communication
23666,"Специалисты, менеджеры и руководители не в состоянии составить и согласовать договор с 3-х попыток, а так же на принимают должных и достаточных усилий для оперативного решения проблем, полная безответственнось и не внимательность на каждом этапе сделки.",Quality
23668,"Да еще и карты чиповые появились (может оформлю себе такую, а то в Европе без чипа не везде принимают), ну и, конечно, интернет-банк ничем не уступает Альфе.",Quality
23670,"Спасибо за оперативность Татьяне, она спасла мой день и 32 моих сотрудника получили ЗП вовремя!",Quality
23672,А сотрудники ответственного подразделения просто не отвечают на телефонные звонки.,Communication
23674,"Какая ж такая сложная работа направить инфо в НБКИ, что кредит закрыт... На сегодняшний день из-за «качественной» работы данного банка я не могу оформить новую заявку на ипотеку и приобрести квартируобращение номер 22023825",Quality
23676,Но впервые за все 10 лет столкнулся с такой некомпетентностью и хамством их сотрудника.,Communication
23678,"Общение через чат- быстро, удобно, по делу, если вопрос безопасности - реагируют моментально, звонят и дальше обсуждаем все вопросы.",Communication
23680,"Но нас он уверил, что это именно так, мы даже пересчитали что из этого выгоднее взять на всякий случай.",Communication
23682,"Во-первых, он абсолютно бесплатен, во-вторых, имеются все необходимые операции (за исключением переводов за рубеж, но это можно сделать в любом офисе).",Quality
23684,"В офисе душно, и ужасно грязный пол. Наконец моя очередь, передаю сотруднице Лиане квитанцию нашего ТСН.",Quality
23686,Требую разобраться с отвратительной работой сотрудников данного отделения и вернуть мне мои 35000 рублей!!!!,Communication
23688,"Уже 20 августа, а мои вопросы пинают с 7 июля с формулировками ""вам дадут ответ"",  а ответа все нет.",Communication
23690,"И вот уже более 6 месяцев я очень довольна работой банка Финсервис, не только доброжелательным отношением к своим клиентам,выгодными условиями, с которыми я могу сэкономить на своих затратах, но и скоростью решения проблем.",Quality
23691,"И вот уже более 6 месяцев я очень довольна работой банка Финсервис, не только доброжелательным отношением к своим клиентам,выгодными условиями, с которыми я могу сэкономить на своих затратах, но и скоростью решения проблем.",Price
23692,"Лопатина Т. Ю. помогла подготовить весь пакет документов, консультировала, грамотно направляла, курировала все действия.",Communication
23694,"В целом, банк неплохой, наверное.",Quality
23696,"К этому сотруднику я обращаюсь уже несколько лет, всегда очень внимательно относится к клиентам.",Quality
23698,"Ура, товарищи, её дали вовремя.",Quality
23700,КАТЕГОРИЧЕСКИ не устраивает срок рассмотрения!!!!!!!!!,Communication
23702,где деньги почему не работает телефон и недоступен личный кабинет!!!!,Quality
23703,где деньги почему не работает телефон и недоступен личный кабинет!!!!,Communication
23704,"Прошло два рабочих дня, никаких справок мне естественно никто не отправил, никакой представитель не пришёл.",Communication
23706,"Итог, потраченные нервы, время, полнейшее отсутсвие помощи, шаблонные ответы и карта которая теперь лежит мертвым грузом непонятно как зарегестрированная Телефон был подтверждён через смс, как так бредово могло получиться что карту зарегистрировали на какой-то другой номер.",Communication
23707,"Итог, потраченные нервы, время, полнейшее отсутсвие помощи, шаблонные ответы и карта которая теперь лежит мертвым грузом непонятно как зарегестрированная Телефон был подтверждён через смс, как так бредово могло получиться что карту зарегистрировали на какой-то другой номер.",Quality
23708,"Мало того что карта задержана банкоматом не по моей вине, я на неделю остался без возможности оплачивать и получать платежи в привычном мне рабочем ритме (у меня свое дело), так ещё отправлена хрен знает куда и меня ещё заставляют идти за какой-то справкой!",Quality
23710,Подведу итоги своего негативного отзыва:-Подавал на кредитные каникулы - включили реструктуризацию на грабительских условиях!-На протяжении 8 месяцев пытался дозвониться и получить хоть какие-то разъяснения - результатов нет!,Quality
23711,Подведу итоги своего негативного отзыва:-Подавал на кредитные каникулы - включили реструктуризацию на грабительских условиях!-На протяжении 8 месяцев пытался дозвониться и получить хоть какие-то разъяснения - результатов нет!,Communication
23712,"За время сотрудничества я не часто обращался в кц, но всегда все было быстро и доходчиво.",Communication
23714,"Всё произошло очень удобно, позвонили из банка, спросили, когда я буду дома, чтобы привезти договор на подпись.",Communication
23715,"Всё произошло очень удобно, позвонили из банка, спросили, когда я буду дома, чтобы привезти договор на подпись.",Quality
23716,Очень приятно работать  с такими профессионалами своего дела.,Communication
23718,"Работа центра поддержки клиентов всегда на высоком уровне, почти всегда можно мгновенно дозвониться и уточнить интересующий вопрос.",Communication
23720,"Конечно, не самый дешевый банк, зато надёжный.",Safety
23722,"Там сотрудник сразу говорит, что программа MoneyGram в банке не работает и не работает уже достаточно давно.",Quality
23724,"Возмущена некомпетентностью сотрудников, в частности ст. менеджера по работе с клиентами Ф-пова А. С. В сентябре 2013 г. муж взял потребительский кредит, через пять дней трагически погиб.",Communication
23726,"Далее, после разговора с мужем и звонков на ГЛ ВТБ, я осознала, что меня просто нагло и откровенно обманули!",Communication
23728,"Это действительно тот банк, который делает не только удобные продукты для предпринимателей, но и помогает так же быстро решать все проблемы!",Quality
23730,"Наш менеджер Александр Б. (вн.номер 67970) стал именно Персональным менеджером, успешно решающим даже нестандартные наши просьбы и запросы.",Quality
23732,"Граждане, чтобы не терять Ваше драгоценной время - обходите этот банк стороной!!",Quality
23734,"Свободный оператор никого не принимал, а потом совсем девушка ушла.",Communication
23736,"Однако, она даже не подняв на меня глаз сухо сказала «вы не видите, что я занята, у меня клиент».",Communication
23738,"Это вообще что за банк такой, в отделениях которого нельзя закрыть карту, выпущенную им же самим?",Quality
23740,"30 декобря 2020 года хотела в Эльдорадо взять в кредит наушники, кредитный специалист подал заявки одобрил отп банк, увидев  проценты, сказала подумаю и ушла ни чего не подписывая.через месяц стали приходить уведомления что нужно оплатить кредит.как банк одобрил кредит без подписи, на данный момент ни кто не может ответить.требование аннулировать договор не исполняются",Quality
23742,Мобильное приложение банка и интернет банк заслуживают отдельной похвалы.,Quality
23744,Никого регламента рассмотрения обращения нет !!,Communication
23746,"Последнее обращение составлено 15 октября 2019, до сих пор ответа нет, банк ни разу не связался со мной, постоянно я звоню в клиентскую поддержку, никакой информации конкретной по статусу обращения не предоставляют.",Communication
23748,"Причем информации о курсе нет на сайте, по телефону ее не дают!",Communication
23750,Очень приятные девушки там работают.,Communication
23752,"Ужасное отношение к клиентам начиная с хамства в отделении, заканчивая разными ответами на один и тот же вопрос по телефону.",Communication
23754,Я не один раз попадала к ней во время посещения банка и всегда она очень добросовестно.,Communication
23756,"З-ов Вячеслав, очень помог, очень хотел бы чтоб на это обратили внимание и хотя бы написали благодарное письмо т.к так быстро помочь в наше время не каждый клиентский сервис сможет.",Communication
23758,"Никому ничего не нужно,такое ощущение что мы в каменном веке живем.",Quality
23760,Хотя до этого у других ресторанов и кафе возвращали 5%.,Price
23761,Хотя до этого у других ресторанов и кафе возвращали 5%.,Quality
23762,"раз отстояла очереди в двух разных филиалах банка на Вильямса 39 б и на Сибирской 53, все безрезультатно, закрыть счета специалисты не могут.",Quality
23764,По кредитной карте вопрос до сих пор не решён!!!,Quality
23766,"Я получила исчерпывающую консультацию о разных типах карт, что помогло мне выбрать наиболее удобный для себя вариант.",Communication
23768,"Однако дико раздражают откровенные ляпы, постоянная некомпетентность сотрудников банка, неспособность их нормально ответить на простые вопросы (разные сотрудники Ситифона в течение получаса могут выдать совершенно разную информацию по одному и тому же вопросу).",Communication
23770,"Сотрудник А-ко Мария Владимировна была очень мила и доброжелательна помогла оформить подписку на okko до конца года, видно  сразу ,что владеет информацией,приятно было слушать .",Communication
23772,"Сейчас сотрудники офиса Сбера просто разводят руками и открыто говорят, что не знают как решить сложившуюся ситуацию.",Quality
23774,"Однако, по состоянию на 20.09.2017г., то есть спустя 1 месяц, ответа так и не последовало, на горячей линии банка ничего внятного ответить не могут, деньги по прежнему не возвращены.",Communication
23776,02 сентября 2020 года стал жертвой действия мошенников.,Safety
23778,"Вопрос изначально не стоит выеденного яйца, другие банки их решают за несколько дней максимум, здесь же - какая-то бесконечная черная дыра, абсолютно наплевательски относящиеся к тебе и бездарно работающие сотрудники, неначисленный кешбек и прочие радости Альфа-Банка.",Quality
23780,"Предварительно в соответствии с информационной рассылкой от ВТБ24 записалась через сайт на прием в данное отделение на 20.07.17 на 13:00, код для получения талона 3798.",Communication
23782,"Напомню, что в том-же Альфа-Банке премиальная VISA Signature делается на месте, прямо в отделении - за 10 минут.",Quality
23784,"Крайне не советую связываться с этими обманщиками, обращайтесь в другие банки, с этими товарищами я ещё пообщаюсь , но вы моих ошибок не повторяйте, мтс как были мошенниками так ими и остались.",Communication
23786,"В сравнении с подобными программами других банков, совсем неплохо.",Quality
23788,Уже год пользуюсь услугами банка  Тинькофф и очень довольна обслуживанием.,Quality
23790,"Хамство, безразличие, грубость?",Communication
23791,"Хамство, безразличие, грубость?",Quality
23792,"Брал потребительски кредит под залог автомобиля, после закрытия кредита пересчитали проценты ,получил обратно деньги на карту халва , очень рад, при этом пользовался картой халва это плюс дополнительные бонусы особенно при оплате с телефона , спасибо банку, рекомендую всем друзьям и родственникам , самое главное следить за условиями договора мне просрочивать выплаты по кредиту.",Quality
23794,"Спасибо им огромное за их труд, я такой моментальной обратной связи еще не встречал.",Communication
23796,"В результате этих действий Банка, я понес убытки примерно в 300 т.р. 24.11.2016 г. я обратился с последующей претензией с просьбой разобраться и возместить мне убытки путем восстановления моей денежной суммы, которая имелась у меня в распоряжении после продажи мною имеющихся у меня акций ""МосБиржа"" в размере 860 лотов, то есть восстановить сумму в размере 936418,60 руб. Ежедневно, Банк списывает с меня проценты с навязанных кредитных средств, моё участие в торгах полностью парализовано в связи с указанной ситуацией.",Communication
23798,"Он мне все подробно объяснил, что мне очень понравилось.",Communication
23800,Такого отвратительного отношения к людям и хамства я не испытывал на себе давно.,Communication
23802,"Отвечали оперативно, отзывчиво и очень компетентно!",Communication
23804,А сотрудники ответственного подразделения просто не отвечают на телефонные звонки.,Quality
23806,"Я один кормилец в семье,у меня двое несовершеннолетних детей&nbsp 1,9 и 7 лет), жена беременная, и у меня нет возможности переплачивать каждый месяц по 5000 рублей из-за халатности банка,который не выполняет свои же условия.",Quality
23808,"Еще ни один банк не отнимал у меня столько времени на решение элементарной проблемы – карта, выданная банком, не работает!",Communication
23810,"Я и моя дочь (также клиент Виталия Ларионова) желаем ему дальнейшего карьерного роста, успехов во всех начинаниях, Банку ВТБ- процветания и развития!",Communication
